date_key,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend
20001101,2000-11-01,2000,4,11,November,44,3,Wednesday,false
20001102,2000-11-02,2000,4,11,November,44,4,Thursday,false
20001103,2000-11-03,2000,4,11,November,44,5,Friday,false
20001104,2000-11-04,2000,4,11,November,44,6,Saturday,true
20001105,2000-11-05,2000,4,11,November,44,0,Sunday,true
20001106,2000-11-06,2000,4,11,November,45,1,Monday,false
20001107,2000-11-07,2000,4,11,November,45,2,Tuesday,false
20001108,2000-11-08,2000,4,11,November,45,3,Wednesday,false
20001109,2000-11-09,2000,4,11,November,45,4,Thursday,false
20001110,2000-11-10,2000,4,11,November,45,5,Friday,false
20001111,2000-11-11,2000,4,11,November,45,6,Saturday,true
20001112,2000-11-12,2000,4,11,November,45,0,Sunday,true
20001113,2000-11-13,2000,4,11,November,46,1,Monday,false
20001114,2000-11-14,2000,4,11,November,46,2,Tuesday,false
20001115,2000-11-15,2000,4,11,November,46,3,Wednesday,false
20001116,2000-11-16,2000,4,11,November,46,4,Thursday,false
20001117,2000-11-17,2000,4,11,November,46,5,Friday,false
20001118,2000-11-18,2000,4,11,November,46,6,Saturday,true
20001119,2000-11-19,2000,4,11,November,46,0,Sunday,true
20001120,2000-11-20,2000,4,11,November,47,1,Monday,false
20001121,2000-11-21,2000,4,11,November,47,2,Tuesday,false
20001122,2000-11-22,2000,4,11,November,47,3,Wednesday,false
20001123,2000-11-23,2000,4,11,November,47,4,Thursday,false
20001124,2000-11-24,2000,4,11,November,47,5,Friday,false
20001125,2000-11-25,2000,4,11,November,47,6,Saturday,true
20001126,2000-11-26,2000,4,11,November,47,0,Sunday,true
20001127,2000-11-27,2000,4,11,November,48,1,Monday,false
20001128,2000-11-28,2000,4,11,November,48,2,Tuesday,false
20001129,2000-11-29,2000,4,11,November,48,3,Wednesday,false
20001130,2000-11-30,2000,4,11,November,48,4,Thursday,false
20001201,2000-12-01,2000,4,12,December,48,5,Friday,false
20001202,2000-12-02,2000,4,12,December,48,6,Saturday,true
20001203,2000-12-03,2000,4,12,December,48,0,Sunday,true
20001204,2000-12-04,2000,4,12,December,49,1,Monday,false
20001205,2000-12-05,2000,4,12,December,49,2,Tuesday,false
20001206,2000-12-06,2000,4,12,December,49,3,Wednesday,false
20001207,2000-12-07,2000,4,12,December,49,4,Thursday,false
20001208,2000-12-08,2000,4,12,December,49,5,Friday,false
20001209,2000-12-09,2000,4,12,December,49,6,Saturday,true
20001210,2000-12-10,2000,4,12,December,49,0,Sunday,true
20001211,2000-12-11,2000,4,12,December,50,1,Monday,false
20001212,2000-12-12,2000,4,12,December,50,2,Tuesday,false
20001213,2000-12-13,2000,4,12,December,50,3,Wednesday,false
20001214,2000-12-14,2000,4,12,December,50,4,Thursday,false
20001215,2000-12-15,2000,4,12,December,50,5,Friday,false
20001216,2000-12-16,2000,4,12,December,50,6,Saturday,true
20001217,2000-12-17,2000,4,12,December,50,0,Sunday,true
20001218,2000-12-18,2000,4,12,December,51,1,Monday,false
20001219,2000-12-19,2000,4,12,December,51,2,Tuesday,false
20001220,2000-12-20,2000,4,12,December,51,3,Wednesday,false
