product_key,parent_asin,product_title,main_category,store,price,price_band,listed_avg_rating,listed_rating_count,category,has_metadata
1,0000099813,Military US Issue JP 8 Gore TEX Fuel Handler Coverall L/R (Large),AMAZON FASHION,MILITARY,,Unknown,5.0,9,Amazon_Fashion,true
2,0005094526,Anoint Oil Frank/Myrrh,Health & Personal Care,RODCO Ltd.,,Unknown,5.0,6,Health_and_Personal_Care,true
3,0005946468,Patanjali Moisturizer Cream - Pack of 2,All Beauty,patanjali,,Unknown,5.0,2,All_Beauty,true
4,0007931727,"Collins Calorie Counter Book Plus Protein, Carbs, Fat and Fibre Measurement",Health & Personal Care,Collins,14.02,Low ($10-25),3.3,3,Health_and_Personal_Care,true
5,0077557999,Prealgebra,Health & Personal Care,LASH LABS,,Unknown,5.0,1,Health_and_Personal_Care,true
6,0077672232,MTH 097 and MTH 169 INT.ALG Special Edition for Washtenaw Community College,Health & Personal Care,Acrimony Lounge,,Unknown,5.0,1,Health_and_Personal_Care,true
7,0077758528,Intermediate Accounting (Intermediate Accounting),Health & Personal Care,Rap God,,Unknown,5.0,1,Health_and_Personal_Care,true
8,0078698146,Command Performances: Music! It's Role and Importance in Our Lives,Health & Personal Care,ElsaGothic Face Powder,,Unknown,5.0,1,Health_and_Personal_Care,true
9,0123034892,Yardley Lace Satin Deodorant Spray for women 150 ml (Pack of 2),All Beauty,,,Unknown,5.0,1,All_Beauty,true
10,0124784577,WOW Organics Apple Cider Vinegar Shampoo - 300 mL,All Beauty,WOW Organics Apple Cider Vinegar Shampoo - 300 mL,,Unknown,3.8,15,All_Beauty,true
11,0205616461,Bio-Active Anti-Aging Serum (Firming Ultra-Hydrating Serum),Health & Personal Care,Bio-Active Anti-Aging Serum (Firming Ultra-Hydrating Serum),18.99,Low ($10-25),5.0,1,Health_and_Personal_Care,true
12,0310807115,Messenger Bag with Detachable Cover Black LG,AMAZON FASHION,,,Unknown,5.0,1,Amazon_Fashion,true
13,0393621413,"Everyone's an Author with Readings, 2016 MLA Update, 2e, Montclair State University",Health & Personal Care,,28.8,Mid ($25-50),5.0,1,Health_and_Personal_Care,true
14,0449032620,"Bright Orange for the Shroud (Travis Mcgee #6) (Gold Medal, P3262)",Health & Personal Care,Fawcett World Library,,Unknown,4.5,2,Health_and_Personal_Care,true
15,0512238944,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Pink,AMAZON FASHION,Shanfetl,,Unknown,4.6,3,Amazon_Fashion,true
16,0512238987,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Blue,AMAZON FASHION,Shanfetl,,Unknown,3.0,1,Amazon_Fashion,true
17,0512238995,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Blue,AMAZON FASHION,Shanfetl,,Unknown,5.0,2,Amazon_Fashion,true
18,0512239045,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Khaki,AMAZON FASHION,Shanfetl,,Unknown,4.0,13,Amazon_Fashion,true
19,0512239134,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Light Grey,AMAZON FASHION,Shanfetl,,Unknown,5.0,1,Amazon_Fashion,true
20,0512239150,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops Light Grey,AMAZON FASHION,Shanfetl,,Unknown,4.2,7,Amazon_Fashion,true
21,0512239347,Women Elbow Length Half Sleeve Casual Tshirts Summer Crewneck Cotton Loose Basic Striped Oversized Tee Tops Grey,AMAZON FASHION,Shanfetl,,Unknown,3.3,4,Amazon_Fashion,true
22,0512243034,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops,AMAZON FASHION,Shanfetl,,Unknown,4.2,3,Amazon_Fashion,true
23,0512243085,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops,AMAZON FASHION,Shanfetl,,Unknown,4.5,6,Amazon_Fashion,true
24,0512243115,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops,AMAZON FASHION,Shanfetl,,Unknown,4.0,4,Amazon_Fashion,true
25,0512243212,Womens Cap Sleeve Crew Neck Tshirts with Pocket Summer Casual Leopard Loose Fit Side Split Tees Tops,AMAZON FASHION,Shanfetl,,Unknown,5.0,2,Amazon_Fashion,true
26,0515059560,Love on the Run,All Beauty,Jove,,Unknown,4.0,1,All_Beauty,true
27,0545142954,Purplicious,AMAZON FASHION,purplicious,11.95,Low ($10-25),3.8,7,Amazon_Fashion,true
28,0545298156,Vincent Van Gogh's Cat,AMAZON FASHION,vincent van gogh's,49.95,Mid ($25-50),4.6,14,Amazon_Fashion,true
29,0545517451,Spookley the Square Pumpkin a Family to Be Thankful for (Hardback),Health & Personal Care,n/a,,Unknown,3.4,4,Health_and_Personal_Care,true
30,0599521503,Jzcky Shzrp Silver and Green Color High Quality Zinc Alloy Four-leaf Clover Fortune Keychain (Four-leaf Clover),AMAZON FASHION,Jzcky Shzrp,,Unknown,4.5,49,Amazon_Fashion,true
31,0610318861,"Jzcky Shzrp Fashion Lady's High Heels Keychain, Creative Refinement Hollow Shoes Lady Gift (Silver)",AMAZON FASHION,Jzcky Shzrp,8.99,Budget (<$10),4.1,106,Amazon_Fashion,true
32,061520581X,Jennys Heritage,AMAZON FASHION,Heritage Products,19.99,Low ($10-25),4.4,6,Amazon_Fashion,true
33,0615523730,Italian Christmas Eve: The Feast of Seven Fishes,Health & Personal Care,Statabuon.com,,Unknown,3.0,1,Health_and_Personal_Care,true
34,0615582613,Ophthalmology Clinical Vignettes: Oral Exam Study Guide,Health & Personal Care,ICShopToday,,Unknown,4.7,11,Health_and_Personal_Care,true
35,0615639712,"Adu, My Grandfather Said, Climb a Tree and Look for the Light",Health & Personal Care,Red Skies Publishing,,Unknown,3.0,3,Health_and_Personal_Care,true
36,0615781675,Where the Heck Can I Get a Beer?,Health & Personal Care,ICShopToday,,Unknown,4.5,8,Health_and_Personal_Care,true
37,0615836828,Breast Cancer: My Spiritual Journey,Health & Personal Care,solodate,,Unknown,5.0,3,Health_and_Personal_Care,true
38,0615991335,by WA7ZZE Chuck Penson Heathkit Test Equipment Products (1st First Edition) [Paperback],AMAZON FASHION,Warju,,Unknown,4.9,21,Amazon_Fashion,true
39,0629150591,"Jzcky Shzrp Premium Key Chain，Adopts Advanced Integrated Molding Technology, the Whole Body without Screws and Welding, Expansion Bolt Connection Keychain (Gray)",AMAZON FASHION,Jzcky Shzrp,,Unknown,4.6,290,Amazon_Fashion,true
40,0641843682,Winter Snow Christmas Cards Assortwd,Health & Personal Care,Barnes & Noble,,Unknown,5.0,1,Health_and_Personal_Care,true
41,0648261662,Basketball Legends Alphabet,Health & Personal Care,WABRINY,15.59,Low ($10-25),4.8,225,Health_and_Personal_Care,true
42,0670801933,An Author and His Image : The Collected Short Pieces,Health & Personal Care,Yes Baby,,Unknown,4.3,5,Health_and_Personal_Care,true
43,0681552166,"Little Suzy's Zoo Coloring Book Multipack, by Suzy Spafford",Health & Personal Care,HAARBB,,Unknown,5.0,1,Health_and_Personal_Care,true
44,0692508988,The Listening Cards,All Beauty,Listening Planet,,Unknown,5.0,1,All_Beauty,true
45,069267599X,Inspirational Card Deck,All Beauty,CYOIDAI,33.0,Mid ($25-50),4.8,176,All_Beauty,true
46,0692937854,Soil: Notes Towards The Theory and Practice of Nurture Capital,Health & Personal Care,Slow Money Institute,,Unknown,5.0,6,Health_and_Personal_Care,true
