user_key,user_id,lifetime_reviews,categories_reviewed,avg_rating_given,total_helpful_votes,verified_share,first_review_date,last_review_date,reviewer_segment
1,AE22236AFRRSMQIKGG7TPTB75QEA,1,1,5.0,0.0,1.0,2021-01-26,2021-01-26,One-off
2,AE2224EKBYOTIAXL7PC7KRQIXHOA,1,1,2.0,0.0,1.0,2018-06-25,2018-06-25,One-off
3,AE222BBOVZIF42YOOPNBXL4UUMYA,1,1,5.0,0.0,1.0,2016-03-10,2016-03-10,One-off
4,AE222BXSMOAK65FICCF3SAG2FTIA,1,1,5.0,0.0,0.0,2023-08-02,2023-08-02,One-off
5,AE222CDPBUOEJLIFR5X6KMP7YDFA,1,1,5.0,0.0,1.0,2018-06-07,2018-06-07,One-off
6,AE222FP7YRNFCEQ2W3ZDIGMSYTLQ,1,1,5.0,0.0,1.0,2023-03-07,2023-03-07,One-off
7,AE222GY2VH7MEWI4N5AHPXB5CP5A,1,1,5.0,0.0,1.0,2019-06-21,2019-06-21,One-off
8,AE222H3FGXWLHRFUMGMS2RR57NDQ,2,1,3.5,0.0,1.0,2017-03-20,2019-11-05,One-off
9,AE222HRNGARBTPMBFOETLSAGJMHA,1,1,5.0,0.0,1.0,2023-01-04,2023-01-04,One-off
10,AE222LBLDIVPM4XEAAVWPUAY54BA,1,1,5.0,1.0,1.0,2018-03-05,2018-03-05,One-off
11,AE222NQXWES2RIDV6R47JZFJAVEA,1,1,1.0,1.0,1.0,2021-12-22,2021-12-22,One-off
12,AE222OUMMJSNQDOUJ5CXJ5IZ2EGQ,1,1,1.0,0.0,1.0,2022-03-11,2022-03-11,One-off
13,AE222OXZMBDUCEGPIZKWDWEQC5UQ,1,1,5.0,0.0,1.0,2016-08-29,2016-08-29,One-off
14,AE222SFRFOAFCUJ3DKA3MVPDP3IA,1,1,5.0,1.0,1.0,2017-03-24,2017-03-24,One-off
15,AE222X475JC6ONXMIKZDFGQ7IAUA,1,1,5.0,2.0,1.0,2017-01-07,2017-01-07,One-off
16,AE222Y4WTST6BUZ4J5Y2H6QMBITQ,1,1,4.0,1.0,1.0,2013-06-25,2013-06-25,One-off
17,AE222Z5LOSXLLRY2LTS5VRWFU5DA,1,1,5.0,0.0,1.0,2016-09-20,2016-09-20,One-off
18,AE2232TEZOEWQLAFEX2NA6VBGMYQ,1,1,5.0,0.0,1.0,2019-07-30,2019-07-30,One-off
19,AE2233IKA2327CVE7WFSJVHDTPOA,1,1,5.0,0.0,1.0,2019-08-08,2019-08-08,One-off
20,AE2233KDI3KDNI2E63ES2S5352PA,1,1,4.0,0.0,1.0,2020-03-02,2020-03-02,One-off
21,AE22355IAQGYY4EPWWVYX25J7AHA,1,1,1.0,1.0,1.0,2013-05-31,2013-05-31,One-off
22,AE2235F2HUZGAKOG3ON4UFZ2ZMPQ,1,1,4.0,0.0,1.0,2013-01-18,2013-01-18,One-off
23,AE2235Q53V246ISFXCSESYHAVNUA,1,1,3.0,0.0,1.0,2023-01-17,2023-01-17,One-off
24,AE2235WN2DWTRZO2SR55NFAKIBCQ,1,1,1.0,0.0,1.0,2021-04-19,2021-04-19,One-off
25,AE2236UUBI6LTFUVA64J5HBIO6IQ,1,1,5.0,0.0,0.0,2017-01-30,2017-01-30,One-off
