topic_id,rank,word
0,1,hair
0,2,big
0,3,long
0,4,expected
0,5,short
0,6,hard
0,7,use
0,8,recommend
0,9,really
0,10,way
0,11,times
0,12,good
0,13,weeks
0,14,just
0,15,item
1,1,quality
1,2,poor
1,3,did
1,4,shirt
1,5,bad
1,6,terrible
1,7,extremely
1,8,star
1,9,returned
1,10,isn
1,11,good
1,12,socks
1,13,bottle
1,14,case
1,15,instead
2,1,like
2,2,just
2,3,don
2,4,didn
2,5,did
2,6,nice
2,7,work
2,8,really
2,9,great
2,10,product
2,11,pretty
2,12,wanted
2,13,smell
2,14,doesn
2,15,use
3,1,cheaply
3,2,working
3,3,wash
3,4,shoe
3,5,years
3,6,break
3,7,stopped
3,8,dry
3,9,shape
3,10,pink
3,11,hot
3,12,gift
3,13,son
3,14,polish
3,15,nail
4,1,small
4,2,size
4,3,fit
4,4,way
4,5,large
4,6,ordered
4,7,wear
4,8,super
4,9,tight
4,10,fits
4,11,sizes
4,12,runs
4,13,order
4,14,smaller
4,15,cute
5,1,broke
5,2,time
5,3,came
5,4,quality
5,5,day
5,6,cheap
5,7,apart
5,8,use
5,9,worth
5,10,fell
5,11,great
5,12,buy
5,13,price
5,14,days
5,15,week
6,1,like
6,2,cheap
6,3,looks
6,4,dress
6,5,picture
6,6,color
6,7,material
6,8,look
6,9,fabric
6,10,received
6,11,disappointed
6,12,looked
6,13,looking
6,14,light
6,15,different
7,1,product
7,2,money
7,3,waste
7,4,don
7,5,work
7,6,broken
7,7,ve
7,8,better
7,9,star
7,10,does
7,11,disappointed
7,12,time
7,13,received
7,14,used
7,15,arrived
