parent_asin,n_reviews,avg_rating_all,avg_rating_excl_flagged,delta
B01FPDNLMK,2,3.0,5.0,2.0
B07YLM8QLS,2,3.0,1.0,-2.0
B07D71M3QJ,4,4.0,5.0,1.0
B075Y9YW3D,3,3.333,2.5,-0.833
B01C29P5TM,3,3.333,2.5,-0.833
B08HMJT41C,4,4.5,5.0,0.5
B08HGHJJHH,3,4.0,3.5,-0.5
B07W54GV4V,3,4.0,3.5,-0.5
B081W7KKJ1,2,4.5,5.0,0.5
B081457LWK,7,3.286,3.667,0.381
B08M66L6D9,3,4.333,4.0,-0.333
B07RZ6C6Z2,3,2.667,3.0,0.333
B07GPSD1V2,8,4.125,4.429,0.304
B07X2L1X34,6,4.5,4.8,0.3
B07TC14ZLQ,4,4.25,4.0,-0.25
B083GZ1DVB,4,4.75,5.0,0.25
B00IOW6B9A,11,2.636,2.4,-0.236
B07WHJGNTN,11,2.909,2.7,-0.209
B07TYCBYZ3,9,3.444,3.625,0.181
B076MQSYWK,4,4.5,4.333,-0.167
B07QK81HT2,5,2.6,2.75,0.15
B07DGV74GB,15,3.933,4.071,0.138
B07V3PF8MB,6,4.333,4.2,-0.133
B08BXVJMRY,10,3.8,3.667,-0.133
B078HWD98J,10,4.2,4.333,0.133
B07XQ2CQ6L,14,3.429,3.308,-0.121
B088YHN4JT,9,4.889,5.0,0.111
B085J354CL,10,4.0,4.111,0.111
B07WRF6KMW,20,4.1,4.211,0.111
B07G968K78,8,4.75,4.857,0.107
B07X3T3JGM,6,4.5,4.4,-0.1
B07T1WMT55,6,3.5,3.4,-0.1
B07W7B5SRQ,12,3.083,3.182,0.099
B0779XMQ4T,7,4.571,4.667,0.096
B015QSOGC8,26,4.308,4.4,0.092
B084DVX631,8,4.375,4.286,-0.089
B08GS19PM7,10,4.8,4.889,0.089
B07PM25W3X,8,4.375,4.286,-0.089
B088P96QTJ,4,3.25,3.333,0.083
B01GJ5F0ZY,42,3.881,3.951,0.07
B08L3J4FB9,12,4.75,4.818,0.068
B07RZW6VSV,6,3.667,3.6,-0.067
B06XJHM3W5,42,2.333,2.268,-0.065
B07WM1QBZN,14,4.214,4.154,-0.06
B07XLGKWLT,13,3.615,3.667,0.052
B084MH1TZ8,5,4.8,4.75,-0.05
B08F2SDSM6,7,4.286,4.333,0.047
B07SZ6PT8X,11,4.455,4.5,0.045
B00KPCCNS0,51,2.824,2.78,-0.044
B07CJQ3YDC,13,4.538,4.5,-0.038
B0828W2HXQ,6,4.833,4.8,-0.033
B07VPK7C1K,10,4.7,4.667,-0.033
B07TYJV43N,6,4.833,4.8,-0.033
B07TXYN6WR,18,4.5,4.471,-0.029
B0856ZYN57,9,4.778,4.75,-0.028
B07W5LK7PS,148,4.628,4.653,0.025
B015X2DNIU,22,4.5,4.476,-0.024
B00VN0GPNM,44,4.0,3.977,-0.023
B07XVNJFNF,33,4.303,4.281,-0.022
B07R1K1SBD,157,4.376,4.397,0.021
B07HP6CD63,8,4.125,4.143,0.018
B0821V75ZQ,8,4.125,4.143,0.018
B07T21LD7N,22,4.364,4.381,0.017
B07WRXVDBY,12,4.833,4.818,-0.015
B07WK4BV5X,33,4.515,4.5,-0.015
B07L1R72FT,69,4.159,4.147,-0.012
B00W2EASCC,33,4.606,4.594,-0.012
B07D4P8TN5,14,4.857,4.846,-0.011
B00X6P92OG,119,3.992,3.983,-0.009
B0838WBM74,66,4.409,4.4,-0.009
B06ZZRQHLT,55,3.527,3.519,-0.008
B001JJ69RE,273,4.495,4.502,0.007
B00ILH0IE2,271,4.03,4.026,-0.004
B00DT4757A,498,4.018,4.022,0.004
B00O92P0KU,334,4.18,4.177,-0.003
B01AYTGWA8,302,4.182,4.179,-0.003
B01GS8J18E,268,4.317,4.315,-0.002
B00N996X4G,296,4.439,4.437,-0.002
B01F7WA2X0,450,4.307,4.305,-0.002
B07XVVVB8W,276,4.257,4.256,-0.001
B07GKLQ5KV,3263,4.341,4.342,0.001
B012Q9NGE4,789,4.023,4.022,-0.001
B00WRPIB5W,1237,4.734,4.733,-0.001
B01GS7QKQQ,437,4.279,4.28,0.001
B016YKQ4PY,783,3.682,3.682,0.0
B079K96NQB,2,4.0,4.0,0.0
B085BB7B1M,1612,4.644,4.644,0.0
B07V39Q9TC,3,5.0,5.0,0.0
B09WJSHQFL,2079,4.369,4.369,0.0
B07YSS1PJ5,2,5.0,5.0,0.0
B0731B3B81,1,2.0,,
B074M8K3TY,1,5.0,,
B087C7B29S,1,4.0,,
B07R5XCT7C,1,4.0,,
