review_year,0,1,2,3,4,5,6,7
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2006,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2007,0.091,0.0,0.273,0.0,0.0,0.091,0.182,0.364
2008,0.0,0.0,0.2,0.0,0.0,0.4,0.2,0.2
2009,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.333
2010,0.143,0.0,0.429,0.0,0.0,0.143,0.0,0.286
2011,0.222,0.0,0.278,0.0,0.167,0.0,0.056,0.278
2012,0.037,0.037,0.407,0.037,0.037,0.148,0.074,0.222
2013,0.104,0.052,0.208,0.01,0.083,0.198,0.146,0.198
2014,0.074,0.045,0.153,0.023,0.091,0.284,0.108,0.222
2015,0.087,0.064,0.198,0.028,0.106,0.204,0.112,0.201
2016,0.076,0.077,0.186,0.018,0.174,0.177,0.119,0.173
2017,0.064,0.069,0.166,0.015,0.185,0.171,0.181,0.149
2018,0.073,0.064,0.18,0.024,0.169,0.182,0.151,0.158
2019,0.069,0.06,0.183,0.029,0.165,0.17,0.17,0.154
2020,0.094,0.057,0.204,0.038,0.121,0.16,0.15,0.176
